City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,west island,-12.1568,96.8225,26.99,89,40,3.6,CC,1707170677
83,port alfred,-33.5906,26.891,21.77,96,5,0.5,ZA,1707171009
84,mount hagen,-5.8581,144.2274,17.04,92,95,1.39,PG,1707171009
85,nemuro,43.3236,145.575,-7.71,78,98,5.79,JP,1707170912
86,ust-nera,64.5667,143.2,-27.39,85,100,0.4,RU,1707170760
87,ushuaia,-54.8,-68.3,11.81,50,0,9.26,AR,1707170678
88,luchegorsk,46.4764,134.2569,-28.88,100,98,0.67,RU,1707171011
89,cabo san lucas,22.8909,-109.9124,30.9,41,20,3.09,MX,1707170761
90,bredasdorp,-34.5322,20.0403,21.82,76,1,0.75,ZA,1707171011
91,aasiaat,68.7098,-52.8699,-30.03,88,16,3.71,GL,1707170917
92,horta,38.5333,-28.6333,17.23,92,100,6.71,PT,1707171012
93,bulungu,-4.55,18.6,21.68,96,89,0.56,CD,1707171012
94,i-n-salah,27.1935,2.4607,15.04,27,4,6.52,DZ,1707171013
95,port-vila,-17.7338,168.3219,27.78,78,75,0.51,VU,1707170765
96,thompson,55.7435,-97.8558,-0.91,93,100,1.03,CA,1707170905
97,san juan nepomuceno,9.9516,-75.082,31.41,55,88,4.73,CO,1707171014
98,valparaiso,-33.0393,-71.6273,22.22,57,0,4.63,CL,1707170925
99,puerto ayora,-0.7393,-90.3518,29.98,93,75,2.68,EC,1707170907
100,yarmouth,41.7057,-70.2286,2.58,65,100,10.28,US,1707171015
101,sao joao da barra,-21.6403,-41.0511,27.05,87,100,4.32,BR,1707170913
102,bethanie,-26.4833,17.15,27.67,29,7,4.61,NA,1707171015
103,chernyshevskiy,63.0128,112.4714,-19.87,99,100,0.88,RU,1707171016
104,hawaiian paradise park,19.5933,-154.9731,23.35,78,75,3.09,US,1707171016
105,tiksi,71.6872,128.8694,-32.65,96,50,1.52,RU,1707170928
106,enewetak,11.3474,162.3373,26.48,73,93,8.32,MH,1707170762
107,peddapalli,18.6167,79.3667,22.92,64,0,1.56,IN,1707170907
108,kismayo,-0.3582,42.5454,26.75,86,69,6.42,SO,1707171018
109,saipan,15.1355,145.701,26.39,65,40,6.17,MP,1707171018
110,gornopravdinsk,60.05,69.9,-0.18,98,100,3.66,RU,1707171018
111,sydney,-33.8679,151.2073,22.97,91,75,6.69,AU,1707170500
112,mahibadhoo,3.7833,72.9667,27.46,82,56,8.2,MV,1707171020
113,walvis bay,-22.9575,14.5053,21.68,73,13,6.19,NA,1707171020
114,xianning,29.8833,114.2167,-0.04,99,100,3.09,CN,1707171022
115,punta arenas,-53.15,-70.9167,13.06,50,20,10.8,CL,1707170931
116,nizhniy lomov,53.5304,43.6766,-4.02,94,100,6.24,RU,1707171023
117,bengkulu,-3.8004,102.2655,24.66,90,100,1.71,ID,1707171025
118,kill devil hills,36.0307,-75.676,8.0,78,75,5.14,US,1707171026
119,birobidzhan,48.8,132.95,-27.32,98,23,1.23,RU,1707171027
120,belyy yar,53.6039,91.3903,-13.06,85,96,1.0,RU,1707171027
121,keflavik,64.0049,-22.5624,-6.76,68,20,10.29,IS,1707171028
122,ambovombe,-25.1667,46.0833,22.28,94,100,3.87,MG,1707171029
123,jingdezhen,29.2947,117.2079,2.95,96,100,1.77,CN,1707170797
124,galliano,29.4422,-90.2992,15.0,75,100,7.74,US,1707171030
125,ulanhot,46.0833,122.0833,-14.34,79,100,1.09,CN,1707171031
126,sillamae,59.3997,27.7547,-3.77,91,100,4.9,EE,1707171031
127,cambria,35.5641,-121.0808,14.68,93,88,1.79,US,1707171031
128,istgah-e rah ahan-e garmsar,35.2346,52.3094,6.73,58,74,4.84,IR,1707171032
129,slavuta,50.3016,26.8651,2.94,85,100,6.49,UA,1707171032
130,freeport,40.6576,-73.5832,6.25,42,0,7.2,US,1707171033
131,tahe,52.3333,124.7333,-22.69,96,76,1.76,CN,1707171033
132,mar del plata,-38.0023,-57.5575,21.64,82,57,11.62,AR,1707170975
133,jutai,-5.1833,-68.9,25.91,94,90,0.84,BR,1707171034
134,westport,41.1415,-73.3579,5.5,45,0,5.66,US,1707171034
135,pizarro,4.9533,-77.366,27.94,76,50,2.72,CO,1707171035
136,smithers,54.7804,-127.1743,-0.36,63,100,1.46,CA,1707170822
137,hithadhoo,-0.6,73.0833,28.27,76,100,3.74,MV,1707170915
138,yuzhno-kurilsk,44.0306,145.8556,-5.9,60,72,7.07,RU,1707171036
139,tsiombe,-25.3,45.4833,22.83,92,100,4.49,MG,1707171036
140,lagoa,39.05,-27.9833,16.88,88,97,5.57,PT,1707171036
141,hermanus,-34.4187,19.2345,21.0,85,10,1.82,ZA,1707170758
142,tual,-5.6667,132.75,28.82,75,100,7.33,ID,1707171037
143,peterhead,57.5058,-1.7981,5.22,94,100,2.96,GB,1707171037
144,alta,69.9689,23.2717,-14.34,80,47,3.09,NO,1707171037
145,greymouth,-42.4667,171.2,19.33,67,98,0.95,NZ,1707170924
146,susuman,62.7833,148.1667,-28.9,89,100,1.34,RU,1707171038
147,arkhara,49.4212,130.0842,-30.13,100,99,0.89,RU,1707171038
148,huron,41.1501,-82.5499,1.49,91,90,5.1,US,1707171039
149,port douglas,-16.4833,145.4667,27.69,79,63,1.04,AU,1707171039
150,hotan,37.0997,79.9269,-3.73,89,91,0.99,CN,1707171040
151,chibougamau,49.9168,-74.3659,-10.29,93,29,1.63,CA,1707170932
152,puerto baquerizo moreno,-0.9,-89.6,28.55,79,20,4.12,EC,1707171040
153,kapuskasing,49.4169,-82.4331,-2.95,100,100,2.06,CA,1707170649
154,malanje,-9.5402,16.341,18.07,95,67,1.22,AO,1707171041
155,mahbubnagar,16.7333,77.9833,22.85,58,0,1.3,IN,1707171041
156,bat khela,34.6167,71.9714,5.34,50,7,3.09,PK,1707171041
157,baharly,38.4362,57.4316,9.5,46,37,4.19,TM,1707171042
158,kodiak,57.79,-152.4072,2.73,81,0,2.06,US,1707170927
159,patnanungan,14.7833,122.1833,25.34,83,41,6.94,PH,1707171042
160,malango,-2.9627,119.9001,19.96,93,100,1.28,ID,1707171043
161,sinazongwe,-17.2614,27.4618,26.87,56,51,1.57,ZM,1707171043
162,qamdo,31.1667,97.2333,-7.48,46,94,3.44,CN,1707171043
163,morant bay,17.8815,-76.4093,25.79,83,31,6.97,JM,1707170783
164,galle,6.0367,80.217,23.73,90,89,2.74,LK,1707171044
165,fuglafjordur,62.244,-6.814,-0.74,67,100,13.15,FO,1707171044
166,pudozh,61.8099,36.5345,-17.81,96,98,3.13,RU,1707171045
167,bilibino,68.0546,166.4372,-35.45,100,100,0.28,RU,1707170915
168,alzamay,55.5562,98.6644,-10.63,95,99,1.33,RU,1707171045
169,maudaha,25.6833,80.1167,14.95,95,44,2.72,IN,1707171046
170,san luis de la loma,17.2706,-100.8939,28.34,62,2,3.36,MX,1707171046
171,mahdalynivka,48.921,34.9156,1.08,76,56,9.42,UA,1707171046
172,georgetown,5.4112,100.3354,26.64,89,20,0.0,MY,1707170766
173,carnarvon,-24.8667,113.6333,27.25,33,10,8.94,AU,1707170927
174,klyuchi,52.2667,79.1667,-8.77,89,64,4.4,RU,1707170908
175,carauari,-4.8828,-66.8958,27.17,85,85,0.38,BR,1707171047
176,natal,-5.795,-35.2094,29.12,74,20,4.63,BR,1707170752
177,brades,16.7918,-62.2106,29.76,65,20,1.03,MS,1707171048
178,saldanha,-33.0117,17.9442,17.99,95,49,2.2,ZA,1707170916
179,jamestown,42.097,-79.2353,0.77,82,74,3.58,US,1707170819
180,bubaque,11.2833,-15.8333,26.51,77,0,5.15,GW,1707171049
181,constantia,44.1833,28.65,10.39,74,52,7.67,RO,1707171049
182,tazacorte,28.629,-17.9293,20.08,23,0,4.12,ES,1707171049
183,novodvinsk,64.4165,40.8122,-25.12,100,67,1.28,RU,1707170903
184,tura,25.5198,90.2201,15.45,60,97,0.76,IN,1707171050
185,utrik,11.2278,169.8474,26.47,83,17,8.91,MH,1707170894
186,badger,64.8,-147.5333,-14.05,75,20,0.0,US,1707170762
187,essaouira,31.5125,-9.77,14.72,44,40,2.06,MA,1707170792
188,lethem,3.3803,-59.7968,33.67,38,100,0.15,GY,1707171051
189,toropets,56.4978,31.6353,-7.89,97,64,2.68,RU,1707171051
190,egilsstadir,65.2653,-14.3948,-14.22,93,51,3.83,IS,1707170889
191,cockburn town,21.4612,-71.1419,25.86,80,10,6.04,TC,1707171052
192,minas de marcona,-15.2119,-75.1103,21.97,74,31,4.9,PE,1707170928
193,vila franca do campo,37.7167,-25.4333,18.27,99,94,6.23,PT,1707171052
194,pisticci,40.3906,16.5568,5.67,97,7,1.68,IT,1707171053
195,along,28.1667,94.7667,11.59,98,100,0.58,IN,1707171053
196,kayangel,8.0823,134.7173,27.72,84,100,9.6,PW,1707170766
197,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,80,75,3.13,RU,1707170892
198,harstad,68.799,16.5293,-2.14,94,69,3.13,NO,1707171054
199,iskateley,67.6803,53.1512,-18.88,97,100,1.79,RU,1707170897
200,motygino,58.1831,94.7592,-10.19,98,100,1.64,RU,1707171054
201,lihue,21.9789,-159.3672,26.58,63,40,8.75,US,1707170691
